Title,Author,Tropes,Heat Level
Dropping the Ball,Melanie Jacobson,"reunion, holiday, academic",closed-door
Start With Me,Kara Isaac,"slow burn, opposites attract, christian, faith, lawyers",closed-door
Not A Thing,Susan Henshaw,"small town, fake dating, lawyer",closed-door
Betting on the Boy Next Door,Melanie Jacobson,"neighbors, ",closed-door
Complete,Kortney Keisel,"friends to lovers, lawyers",closed-door
Hello Stranger,Katherine Center,"career-woman, medical, self-discovery, painter",closed-door
Happiness for Beginners,Katherine Center,"self-discovery, wilderness, brother's best friend",closed-door
The Rom-Commers,Katherine Center,"workplace, forced proximity, enemies to lovers",closed-door
What You Wish For,Katherine Center,"grief, teacher, uplifting",closed-door
Nora Goes Off Script,Annabel Monaghan,"celebrity, single mom,",fade to black
The Roommate Situation,Katie Bailey,"roommates, romantic comedy",closed-door
Complex,Kortney Keisel,"roommates, quirky, grumpy/sunshine",closed-door
My Stubborn Heart,Becky Wade,"grief healing, faith, christian",closed-door
Catch a Wave,Savannah Scott,"second chance, brother’s best friend",closed-door
Falling in Line,Kasey Stockton,"second chance, small town",closed-door
Merritt and Her Childhood Crush,Jenny Proctor,"childhood crush, sweet romance",closed-door
It's Always Sonny,Kate Watson,second chance,closed-door
Why Trey Let Me Get Away,Kortney Keisel,"college sweethearts, second chance",closed-door
,,,
,,,
,,,
The Love Haters,Katherine Center,Self-love journey; Slow burn; Healing; Workplace romance,
The Bodyguard,Katherine Center,Bodyguard; Fake dating; Forced proximity; One-bed; Slow burn,
,,,
,,,
The Chemistry of Love,Sariah Wilson, Workplace romance; STEM,
All’s Fair in Love and Blackmail,Gracie Ruth Mitchell,Brothers’ best friend; Blackmail; Slow burn,
Beauty and the Beach,Gracie Ruth Mitchell,Enemies-to-lovers; Marriage-of-convenience; Brother’s best friend; Dual POV,
Once Upon a Boy Band,Jenny Proctor,"Slowburn, Closed Door, music",closed-door
"Dear Henry, Love Edith",Becca Kinzer,"Slowburn, Closed Door, christian",closed-door
West of Port,Carina Taylor,"Slowburn, Closed Door, comedy, forced proximity",closed-door
Pickleballers,Ilana Long,"Enemies to More, Closed Door, sport",closed-door
Never With You,Kortney Keisel,"Enemies to More, Closed Door, workplace",closed-door
Powerless,Lauren Roberts,"Enemies to More, Closed Door,fantasy",closed-door
,,,
Girl Meets Grump,Hailey Gardiner,"Grumpy/Sunshine, Closed Door, ",closed-door
Off the Beaten Path,Madison Wright,"Grumpy/Sunshine, Closed Door, small town",closed-door
The One With the Kiss Cam,Cindy Steel,"Forced Proximity, Closed Door, workplace",closed-door
Not Boyfriend Material,Becky Monson,"Forced Proximity, Closed Door, medical",closed-door
The Perfect Putt,Annah Conwell,"Forced Proximity, Closed Door,golf,sport",closed-door
Playing the Field,Grayson Long,"Friends to More, Closed Door,friends to lovers",closed-door
The Perfect Rom Com,Melissa Ferguson,"Friends to More, Closed Door, script writers, workplace, foster rep",closed-door
The Magic of Light,Jordan Abitz,"Friends to More, Closed Door, small town",closed-door
Same Time Next Summer,Annabel Monaghan,"Second Chance, Closed Door, summer",closed-door
The Blooms That Broke Us,Ashley Dill,"Second Chance, Closed Door, marriage of convenience, emotional",closed-door
Rock and a Hard Place,Juliana Smith,"Second Chance, Closed Door, broken marriage",closed-door
It's Always Us,Stacy Williams,"Football, Closed Door, emotional, childhood friends to more, second chance",closed-door
Just Like Home,Courtney Walsh,"Football, Closed Door",closed-door
Where You Belong,Stacy Williams,"Football, Closed Door, single mom, singer",closed-door
Home Safe,Tracy Baeck,"Baseball, Closed Door, foster rep",closed-door
Home Run Heart,Hailey Gardiner,"Baseball, Closed Door, second chance",closed-door
The Light We Lost,Marae Good,"Baseball, Closed Door, marriage of convenience, second chance, small town",closed-door
We Redeemed the Rain,Ashley Dill,"Cowboy, Closed Door, emotional, second chance, childhood friends, small town",closed-door
Bring Me Home,Ashley Weston,"Cowboy, Closed Door, second chance, small town",closed-door
Wildflower Falls,Denise Hunter,"Cowboy, Closed Door, small town, ",closed-door
,,,
What You Wish For,Katherine Center,"He Takes Care of Her, Closed Door, workplace, teachers",closed-door
Secret or Shutout,Leah Brunner,"He Takes Care of Her, Closed Door, hockey, brothers best friend",closed-door
If All Else Sails,Emma St. Clair,"Brother's Best Friend, Closed Door, forced proximity ",closed-door
All's Fair in Love and Blackmail,Gracie Ruth Mitchell,"Brother's Best Friend, Closed Door, comedy ",closed-door
"Signed, Sealed, Delivered",Juliana Smith,"Brother's Best Friend, Closed Door",closed-door
Summer Ever After,Kortney Keisel,"Best Friend's Brother, Closed Door",closed-door
Best for Last,Baleigh Jayne,"Best Friend's Brother, Closed Door",closed-door
For the Record,Juliana Smith,"Best Friend's Brother, Closed Door",closed-door
The Buy-In,Emma St. Clair,"Marriage of Convenience, Closed Door",closed-door
I Got You,Stacy Williams,"Marriage of Convenience, Closed Door",closed-door
