Title,Author,Tropes,Heat Level
Not If I Save You First,Ally Carter,ya/adult; romance; political suspense,Low–Medium
The Blonde Identity,Ally Carter,"adult; spy; action-romance, amnesia",Low–Medium
The Blonde Who Came in from the Cold,Ally Carter,adult; spy; enemies to more,Low–Medium
The Most Wonderful Crime of the Year,Ally Carter,adult; holiday mystery; romance,Low–Medium
It’s a Love Story,Annabel Monaghan,fake dating; celebrity; music; second chance,Low–Medium
Nora Goes Off Script,Annabel Monaghan,"celebrity, single mom,",fade to black
Nora Goes Off Script,Annabel Monaghan,single mom; rom-com; second chance; hollywood,Low–Medium
Same Time Next Summer,Annabel Monaghan,"second chance, closed door, summer",closed-door
Same Time Next Summer,Annabel Monaghan,second chance; small town; summer romance,Low–Medium
Summer Romance,Annabel Monaghan,single mom; friends’ brother; grief recovery,Low–Medium
But He’s My Fake Fiancé,Annah Conwell,fake dating; summer romance; closed-door,Low–Medium
But He’s My Fake Fiancé,Annah Conwell,fake fiancé; family expectations; small town,Low–Medium
But He’s My Grumpy Neighbor,Annah Conwell,enemies-to-lovers; neighbors; small town,Low–Medium
But He’s My One Regret,Annah Conwell,second chance; single parent,Low–Medium
But He’s My Roommate,Annah Conwell,roommates; opposites-attract,Low–Medium
One Last Play,Annah Conwell,sports (high school); enemies-to-lovers; small town,Low–Medium
One More Song,Annah Conwell,music; second chance; small town,Low–Medium
Out of Office,Annah Conwell,friends to lovers; fake email romance,Low–Medium
The Confidentiality Clause,Annah Conwell,best friends brother,Low–Medium
The Double Play,Annah Conwell,"age gap, closed door",closed-door
The Double Play,Annah Conwell,grumpy/sunshine; single dad; age gap; baseball,Low–Medium
The Double Play,Annah Conwell,baseball; brothers’ best friend; slow burn,Low–Medium
The First Taste,Annah Conwell,slow burn; food; small town,Low–Medium
The Golden Goal,Annah Conwell,rivals-to-lovers; hockey; enemies-to-lovers,Low–Medium
The Golden Goal,Annah Conwell,hockey; rivals-to-lovers; sports romance,Low–Medium
The Love Audit,Annah Conwell,fake dating; small town; workplace romance,Low–Medium
The Perfect Putt,Annah Conwell,"forced proximity, closed door,golf,sport",closed-door
The Perfect Putt,Annah Conwell,golf; enemies-to-lovers,Low–Medium
The Run Option,Annah Conwell,"marriage of convenience, closed door",closed-door
The Run Option,Annah Conwell,running coach; second chance,Low–Medium
Hold Back the River,Ashley Dill,second chance; addiction recovery; grief healing; closed-door,Low–Medium
The Blooms That Broke Us,Ashley Dill,"second chance, closed door, marriage of convenience, emotional",closed-door
The Blooms That Broke Us,Ashley Dill,marriage of convenience; second chance; family drama,Low–Medium
We Redeemed the Rain,Ashley Dill,"cowboy, closed door, emotional, second chance, childhood friends, small town",closed-door
We Redeemed the Rain,Ashley Dill,cowboy romance; friends to lovers; healing; closed‑door,Low–Medium
Bring Me Home,Ashley Weston,"cowboy, closed door, second chance, small town",closed-door
Carry Me Away,Ashley Weston,"childhood friends to more, closed door",closed-door
Best for Last,Baleigh Jayne,"best friend's brother, closed door",closed-door
"Dear Henry, Love Edith",Becca Kinzer,"slowburn, closed door, christian",closed-door
Desperately Seeking Mr. Darcy,Becky Monson,pride & prejudice retelling; enemies‑to‑lovers,Low–Medium
Not Boyfriend Material,Becky Monson,"forced proximity, closed door, medical",closed-door
One Happy Summer,Becky Monson,summer fling; small town; self‑discovery,Low–Medium
My Stubborn Heart,Becky Wade,"grief healing, faith, christian",closed-door
West of Port,Carina Taylor,"slowburn, closed door, comedy, forced proximity",closed-door
Rebel Summer,Cindy Steel,"childhood friends to more, closed door",closed-door
The One With the Kiss Cam,Cindy Steel,"forced proximity, closed door, workplace",closed-door
A Cross-Country Christmas,Courtney Walsh,road trip; holiday romance,Low
A Cross-Country Wedding,Courtney Walsh,wedding road trip; holiday,Low
Everything's Coming Up Rosie,Courtney Walsh,"strangers to friends to more, closed door",closed-door
Just Like Home,Courtney Walsh,"football, closed door",closed-door
My Lucky Charm,Courtney Walsh,holiday romance; small town,Low
My Phony Valentine,Courtney Walsh,fake relationship; valentine’s holiday,Low
Wildflower Falls,Denise Hunter,"cowboy, closed door, small town,",closed-door
Three Days to Forget,Dulcie Dameron,"age gap, closed door",closed-door
The Heart Shot,Emily Schneider,"strangers to friends to more, closed door",closed-door
Pictures of You,Emma Grey,adult; second chance; memory loss; travel,
The Last Love Note,Emma Grey,adult; grief recovery; second chance,Low–Medium
A Groom of One’s Own,Emma St Clair,sports; hockey; marriage of convenience; closed-door,Low–Medium
A Holly Jilly Christmas,Emma St Clair,holiday; fake relationship; closed-door,Low
As You Ice It,Emma St Clair,hockey; fake dating; slow burn,Low–Medium
Falling for Your Best Friend,Emma St Clair,best friends; slow burn; small town,Low–Medium
Falling for Your Best Friend’s Twin,Emma St Clair,friends to lovers; twins; small town,Low–Medium
Falling for Your Boss,Emma St Clair,boss/employee; age-gap; workplace; slow burn,Low–Medium
Falling for Your Brother’s Best Friend,Emma St Clair,brother’s best friend; forbidden; small town,Low–Medium
Falling for Your Enemy,Emma St Clair,enemies-to-lovers; misunderstanding,Low–Medium
Falling for Your Fake Fiancé,Emma St Clair,fake fiancé; wealth gap; closed-door,Low–Medium
If All Else Sails,Emma St Clair,sailing; enemies-to-lovers; closed‑door,Low–Medium
Royal Gone Rogue,Emma St Clair,royal; rebellion; closed-door,Low–Medium
Royally Rearranged,Emma St Clair,royalty; fake dating; grumpy/sunshine,Low–Medium
Runaway Bride and Prejudice,Emma St Clair,bridal escape; small town; closed-door,Low–Medium
The Bluff,Emma St Clair,fake relationship; poker; small town,Low–Medium
The Buy‑In,Emma St Clair,wedding planner; forced proximity; closed-door,Low–Medium
The Pocket Pair,Emma St Clair,small town; poker; friends to lovers,Low–Medium
The Serendipity,Emma St Clair,magical realism; enemies-to-lovers; closed‑door,Low–Medium
The Twelve Holidates,Emma St Clair,holiday; group dates; closed-door,Low
Upping the Ante,Emma St Clair,fake dating; poker; closed‑door,Low–Medium
